epoch = 5	mAP= 43.26287987731467
epoch = 10	mAP= 43.225642872893125
epoch = 15	mAP= 43.31453802122554
epoch = 20	mAP= 43.38830326360514
epoch = 25	mAP= 43.39911610900719
epoch = 30	mAP= 43.58636508090245
epoch = 35	mAP= 44.422084577186425
epoch = 40	mAP= 46.64732813475885
epoch = 45	mAP= 48.45646352062729
epoch = 50	mAP= 50.14580848049533
epoch = 55	mAP= 50.88367491221445
epoch = 60	mAP= 49.797356386575984
epoch = 65	mAP= 51.91095387420462
epoch = 70	mAP= 52.116725864800316
epoch = 75	mAP= 53.21010986856341
epoch = 80	mAP= 52.05255920226997
epoch = 85	mAP= 53.95834816739304
epoch = 90	mAP= 54.10737675733189
epoch = 95	mAP= 54.26020568306983
epoch = 100	mAP= 54.136499948308426
epoch = 105	mAP= 54.538476406638345
epoch = 110	mAP= 54.68689826774242
epoch = 115	mAP= 54.53656925226829
epoch = 120	mAP= 54.58590873702557
epoch = 125	mAP= 54.61210065310844
epoch = 130	mAP= 54.5050928401248
epoch = 135	mAP= 54.70468908501849
epoch = 140	mAP= 54.97335540228505
epoch = 145	mAP= 54.90586901631216
epoch = 150	mAP= 54.80444175902487
epoch = 155	mAP= 55.00639136374211
epoch = 160	mAP= 55.14158497331919

mAPs= [43.26287987731467, 43.225642872893125, 43.31453802122554, 43.38830326360514, 43.39911610900719, 43.58636508090245, 44.422084577186425, 46.64732813475885, 48.45646352062729, 50.14580848049533, 50.88367491221445, 49.797356386575984, 51.91095387420462, 52.116725864800316, 53.21010986856341, 52.05255920226997, 53.95834816739304, 54.10737675733189, 54.26020568306983, 54.136499948308426, 54.538476406638345, 54.68689826774242, 54.53656925226829, 54.58590873702557, 54.61210065310844, 54.5050928401248, 54.70468908501849, 54.97335540228505, 54.90586901631216, 54.80444175902487, 55.00639136374211, 55.14158497331919]
epochs = [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150, 155, 160]
